0.98	48.6247	44.7982	36.4931	29.1809	46.7255
0.99	48.9888	45.0888	36.3235	28.9475	46.4473
1	49.3512	45.3771	36.1557	28.7159	46.1718
1.01	49.7119	45.6631	35.9896	28.4862	45.899
1.02	50.071	45.9469	35.8253	28.2583	45.6287
1.03	50.4284	46.2283	35.6627	28.0322	45.3611
1.04	50.7842	46.5075	35.5017	27.8079	45.096
1.05	51.1384	46.7845	35.3424	27.5853	44.8335
1.06	51.4911	47.0592	35.1848	27.3645	44.5734
1.07	51.8421	47.3318	35.0288	27.1453	44.3157
1.08	52.1916	47.6021	34.8743	26.9278	44.0605
1.09	52.5396	47.8703	34.7215	26.7119	43.8076
1.1	52.8861	48.1364	34.5701	26.4976	43.5571
1.11	53.231	48.4003	34.4203	26.285	43.3088
1.12	53.5745	48.6621	34.272	26.0739	43.0629
1.13	53.9165	48.9218	34.1251	25.8643	42.8192
1.14	54.257	49.1794	33.9797	25.6563	42.5778
1.15	54.5961	49.4349	33.8358	25.4497	42.3385
1.16	54.9337	49.6884	33.6932	25.2446	42.1014
1.17	55.2699	49.9398	33.552	25.041	41.8664
1.18	55.6048	50.1892	33.4123	24.8389	41.6335
1.19	55.9382	50.4366	33.2738	24.6381	41.4027
1.2	56.2702	50.682	33.1367	24.4387	41.1739
1.21	56.6009	50.9254	33.0009	24.2407	40.9472
1.22	56.9303	51.1668	32.8665	24.0441	40.7225
1.23	57.2583	51.4063	32.7333	23.8488	40.4998
1.24	57.5849	51.6438	32.6013	23.6548	40.279
1.25	57.9103	51.8794	32.4706	23.4621	40.0601
1.26	58.2344	52.113	32.3412	23.2707	39.8431
1.27	58.5571	52.3448	32.2129	23.0805	39.628
1.28	58.8786	52.5746	32.0858	22.8916	39.4148
1.29	59.1988	52.8026	31.96	22.704	39.2034
1.3	59.5178	53.0287	31.8352	22.5175	38.9939
1.31	59.8356	53.253	31.7117	22.3322	38.7861
1.32	60.1521	53.4754	31.5892	22.1481	38.58
1.33	60.4673	53.6959	31.4679	21.9652	38.3758
1.34	60.7814	53.9147	31.3477	21.7834	38.1732
1.35	61.0943	54.1316	31.2286	21.6028	37.9724
1.36	61.406	54.3467	31.1106	21.4232	37.7733
1.37	61.7165	54.5601	30.9936	21.2448	37.5758
1.38	62.0259	54.7716	30.8776	21.0674	37.38
1.39	62.3341	54.9814	30.7627	20.8911	37.1858
1.4	62.6411	55.1895	30.6488	20.7159	36.9932
1.41	62.947	55.3957	30.536	20.5417	36.8023
1.42	63.2518	55.6003	30.4241	20.3686	36.6129
1.43	63.5555	55.8031	30.3132	20.1964	36.425
1.44	63.8581	56.0042	30.2032	20.0253	36.2388
1.45	64.1596	56.2036	30.0943	19.8551	36.054
1.46	64.46	56.4013	29.9862	19.686	35.8708
1.47	64.7593	56.5974	29.8791	19.5178	35.689
1.48	65.0576	56.7917	29.773	19.3505	35.5087
1.49	65.3548	56.9844	29.6677	19.1842	35.3299
1.5	65.6509	57.1754	29.5633	19.0188	35.1526
1.51	65.9461	57.3647	29.4598	18.8543	34.9767
1.52	66.2401	57.5525	29.3572	18.6908	34.8022
1.53	66.5332	57.7386	29.2555	18.5281	34.6291
1.54	66.8253	57.923	29.1546	18.3663	34.4574
1.55	67.1163	58.1059	29.0546	18.2054	34.2871
1.56	67.4064	58.2871	28.9554	18.0453	34.1181
1.57	67.6954	58.4668	28.857	17.8861	33.9505
1.58	67.9835	58.6449	28.7594	17.7277	33.7843
1.59	68.2706	58.8214	28.6627	17.5701	33.6193
1.6	68.5568	58.9963	28.5667	17.4134	33.4557
1.61	68.8419	59.1696	28.4715	17.2575	33.2934
1.62	69.1262	59.3414	28.3771	17.1023	33.1323
1.63	69.4095	59.5117	28.2835	16.948	32.9726
1.64	69.6919	59.6804	28.1906	16.7944	32.8141
1.65	69.9733	59.8476	28.0985	16.6416	32.6568
1.66	70.2538	60.0132	28.0071	16.4896	32.5008
1.67	70.5334	60.1774	27.9164	16.3383	32.346
1.68	70.8122	60.34	27.8265	16.1877	32.1925
1.69	71.09	60.5011	27.7372	16.0379	32.0401
1.7	71.3669	60.6608	27.6487	15.8888	31.889
1.71	71.643	60.8189	27.5609	15.7404	31.739
1.72	71.9181	60.9756	27.4738	15.5927	31.5902
1.73	72.1924	61.1308	27.3873	15.4457	31.4426
1.74	72.4659	61.2845	27.3015	15.2994	31.2961
1.75	72.7385	61.4367	27.2164	15.1538	31.1508
1.76	73.0102	61.5876	27.132	15.0088	31.0066
1.77	73.2811	61.7369	27.0482	14.8645	30.8635
1.78	73.5512	61.8848	26.965	14.7209	30.7216
1.79	73.8204	62.0313	26.8825	14.5779	30.5808
1.8	74.0888	62.1764	26.8006	14.4356	30.4411
1.81	74.3564	62.3201	26.7193	14.2939	30.3024
1.82	74.6232	62.4623	26.6387	14.1528	30.1649
1.83	74.8892	62.6031	26.5586	14.0123	30.0284
1.84	75.1544	62.7425	26.4792	13.8725	29.893
1.85	75.4188	62.8806	26.4003	13.7332	29.7586
1.86	75.6824	63.0172	26.322	13.5945	29.6253
1.87	75.9452	63.1525	26.2443	13.4565	29.4931
1.88	76.2073	63.2863	26.1672	13.319	29.3619
1.89	76.4686	63.4188	26.0907	13.1821	29.2317
1.9	76.7291	63.55	26.0147	13.0458	29.1025
1.91	76.9889	63.6798	25.9392	12.91	28.9743
1.92	77.2479	63.8082	25.8644	12.7748	28.8472
1.93	77.5062	63.9353	25.79	12.6401	28.721
1.94	77.7637	64.061	25.7162	12.506	28.5959
1.95	78.0205	64.1854	25.6429	12.3724	28.4717
1.96	78.2765	64.3084	25.5702	12.2394	28.3485
1.97	78.5319	64.4302	25.498	12.1068	28.2263
1.98	78.7865	64.5506	25.4263	11.9748	28.105
1.99	79.0404	64.6697	25.355	11.8434	27.9847
2	79.2936	64.7874	25.2843	11.7124	27.8654
2.01	79.5461	64.9039	25.2141	11.5819	27.7469
2.02	79.7979	65.0191	25.1444	11.4519	27.6295
2.03	80.049	65.133	25.0752	11.3225	27.513
2.04	80.2994	65.2455	25.0064	11.1935	27.3974
2.05	80.5491	65.3568	24.9382	11.0649	27.2827
2.06	80.7982	65.4668	24.8704	10.9369	27.1689
2.07	81.0465	65.5756	24.803	10.8093	27.0561
2.08	81.2942	65.683	24.7361	10.6822	26.9441
