0	0	0	70.7107	70.7107	-1.11022e-16
0.01	0.707107	0.706616	70.7107	70.6126	-3.33067e-16
0.02	1.41421	1.41225	70.7107	70.5145	-4.44089e-16
0.03	2.12132	2.11691	70.7107	70.4164	-9.99201e-16
0.04	2.82843	2.82058	70.7107	70.3183	-1.11022e-15
0.05	3.53553	3.52327	70.7107	70.2202	-9.99201e-16
0.06	4.24264	4.22498	70.7107	70.1221	-1.33227e-15
0.07	4.94975	4.92571	70.7107	70.024	-1.55431e-15
0.08	5.65685	5.62546	70.7107	69.9259	-1.77636e-15
0.09	6.36396	6.32423	70.7107	69.8278	-2.33147e-15
0.1	7.07107	7.02202	70.7107	69.7297	-2.22045e-15
0.11	7.77817	7.71882	70.7107	69.6316	-2.66454e-15
0.12	8.48528	8.41465	70.7107	69.5335	-2.77556e-15
0.13	9.19239	9.10949	70.7107	69.4354	-3.10862e-15
0.14	9.89949	9.80336	70.7107	69.3373	-3.10862e-15
0.15	10.6066	10.4962	70.7107	69.2392	-3.33067e-15
0.16	11.3137	11.1881	70.7107	69.1411	-3.66374e-15
0.17	12.0208	11.8791	70.7107	69.043	-4.10783e-15
0.18	12.7279	12.569	70.7107	68.9449	-4.10783e-15
0.19	13.435	13.258	70.7107	68.8468	-4.55191e-15
0.2	14.1421	13.9459	70.7107	68.7487	-4.32987e-15
0.21	14.8492	14.6329	70.7107	68.6506	-4.996e-15
0.22	15.5563	15.3189	70.7107	68.5525	-4.996e-15
0.23	16.2635	16.004	70.7107	68.4544	-5.21805e-15
0.24	16.9706	16.688	70.7107	68.3563	-5.55112e-15
0.25	17.6777	17.3711	70.7107	68.2582	-5.77316e-15
0.26	18.3848	18.0532	70.7107	68.1601	-6.10623e-15
0.27	19.0919	18.7343	70.7107	68.062	-6.21725e-15
0.28	19.799	19.4144	70.7107	67.9639	-6.43929e-15
0.29	20.5061	20.0936	70.7107	67.8658	-6.66134e-15
0.3	21.2132	20.7718	70.7107	67.7677	-6.88338e-15
0.31	21.9203	21.4489	70.7107	67.6696	-7.10543e-15
0.32	22.6274	22.1251	70.7107	67.5715	-7.10543e-15
0.33	23.3345	22.8004	70.7107	67.4734	-7.66054e-15
0.34	24.0416	23.4746	70.7107	67.3753	-7.66054e-15
0.35	24.7487	24.1479	70.7107	67.2772	-8.10463e-15
0.36	25.4558	24.8202	70.7107	67.1791	-8.32667e-15
0.37	26.163	25.4915	70.7107	67.081	-8.43769e-15
0.38	26.8701	26.1618	70.7107	66.9829	-8.54872e-15
0.39	27.5772	26.8311	70.7107	66.8848	-8.77076e-15
0.4	28.2843	27.4995	70.7107	66.7867	-8.88178e-15
0.41	28.9914	28.1668	70.7107	66.6886	-9.4369e-15
0.42	29.6985	28.8332	70.7107	66.5905	-9.76996e-15
0.43	30.4056	29.4987	70.7107	66.4924	-9.65894e-15
0.44	31.1127	30.1631	70.7107	66.3943	-9.99201e-15
0.45	31.8198	30.8265	70.7107	66.2962	-9.88098e-15
0.46	32.5269	31.489	70.7107	66.1981	-1.04361e-14
0.47	33.234	32.1505	70.7107	66.1	-1.06581e-14
0.48	33.9411	32.811	70.7107	66.0019	-1.08802e-14
0.49	34.6482	33.4705	70.7107	65.9038	-1.11022e-14
0.5	35.3553	34.1291	70.7107	65.8057	-1.15463e-14
0.51	36.0624	34.7867	70.7107	65.7076	-1.15463e-14
0.52	36.7696	35.4432	70.7107	65.6095	-1.16573e-14
0.53	37.4767	36.0988	70.7107	65.5114	-1.22125e-14
0.54	38.1838	36.7535	70.7107	65.4133	-1.21014e-14
0.55	38.8909	37.4071	70.7107	65.3152	-1.23235e-14
0.56	39.598	38.0598	70.7107	65.2171	-1.23235e-14
0.57	40.3051	38.7115	70.7107	65.119	-1.27676e-14
